"Age recode with <1 year olds","Year of diagnosis","Race and origin recode (NHW, NHB, NHAIAN, NHAPI, Hispanic)","Breast Subtype (2010+)","Crude Rate","Count","Population"
0,27,2,3,~,0,~
0,27,2,4,~,0,~
0,27,2,5,~,0,~
0,27,3,0,~,0,~
0,27,3,1,~,0,~
0,27,3,2,~,0,~
0,27,3,3,~,0,~
0,27,3,4,~,0,~
0,27,3,5,~,0,~
0,27,4,0,~,0,~
0,27,4,1,~,0,~
0,27,4,2,~,0,~
0,27,4,3,~,0,~
0,27,4,4,~,0,~
0,27,4,5,~,0,~
0,27,5,0,~,0,~
0,27,5,1,~,0,~
0,27,5,2,~,0,~
0,27,5,3,~,0,~
0,27,5,4,~,0,~
0,27,5,5,~,0,~
0,28,0,0,~,0,~
0,28,0,1,~,0,~
0,28,0,2,~,0,~
0,28,0,3,~,0,~
0,28,0,4,~,0,~
0,28,0,5,~,0,~
0,28,1,0,~,0,~
0,28,1,1,~,0,~
0,28,1,2,~,0,~
0,28,1,3,~,0,~
0,28,1,4,~,0,~
0,28,1,5,~,0,~
0,28,2,0,~,0,~
0,28,2,1,~,0,~
0,28,2,2,~,0,~
0,28,2,3,~,0,~
0,28,2,4,~,0,~
0,28,2,5,~,0,~
0,28,3,0,~,0,~
0,28,3,1,~,0,~
0,28,3,2,~,0,~
0,28,3,3,~,0,~
0,28,3,4,~,0,~
0,28,3,5,~,0,~
0,28,4,0,~,0,~
0,28,4,1,~,0,~
0,28,4,2,~,0,~
0,28,4,3,~,0,~
0,28,4,4,~,0,~
0,28,4,5,~,0,~
0,28,5,0,~,0,~
0,28,5,1,~,0,~
0,28,5,2,~,0,~
0,28,5,3,~,0,~
0,28,5,4,~,0,~
0,28,5,5,~,0,~
0,29,0,0,~,0,~
0,29,0,1,~,0,~
0,29,0,2,~,0,~
0,29,0,3,~,0,~
0,29,0,4,~,0,~
0,29,0,5,~,0,~
0,29,1,0,~,0,~
0,29,1,1,~,0,~
0,29,1,2,~,0,~
0,29,1,3,~,0,~
0,29,1,4,~,0,~
0,29,1,5,~,0,~
0,29,2,0,~,0,~
0,29,2,1,~,0,~
0,29,2,2,~,0,~
0,29,2,3,~,0,~
0,29,2,4,~,0,~
0,29,2,5,~,0,~
0,29,3,0,~,0,~
0,29,3,1,~,0,~
0,29,3,2,~,0,~
0,29,3,3,~,0,~
0,29,3,4,~,0,~
0,29,3,5,~,0,~
0,29,4,0,~,0,~
0,29,4,1,~,0,~
0,29,4,2,~,0,~
0,29,4,3,~,0,~
0,29,4,4,~,0,~
0,29,4,5,~,0,~
0,29,5,0,~,0,~
0,29,5,1,~,0,~
0,29,5,2,~,0,~
0,29,5,3,~,0,~
0,29,5,4,~,0,~
0,29,5,5,~,0,~
1,0,0,0,~,0,~
1,0,0,1,~,0,~
1,0,0,2,~,0,~
1,0,0,3,~,0,~
1,0,0,4,~,1,~
1,0,0,5,~,0,~
1,0,1,0,~,0,~
1,0,1,1,~,0,~
1,0,1,2,~,0,~
1,0,1,3,~,0,~
1,0,1,4,~,0,~
1,0,1,5,~,0,~
1,0,2,0,~,0,~
1,0,2,1,~,0,~
1,0,2,2,~,0,~
1,0,2,3,~,0,~
1,0,2,4,~,0,~
1,0,2,5,~,0,~
1,0,3,0,~,0,~
1,0,3,1,~,0,~
1,0,3,2,~,0,~
1,0,3,3,~,0,~
1,0,3,4,~,0,~
1,0,3,5,~,0,~
1,0,4,0,~,0,~
1,0,4,1,~,0,~
1,0,4,2,~,0,~
1,0,4,3,~,0,~
1,0,4,4,~,0,~
1,0,4,5,~,0,~
1,0,5,0,~,0,~
1,0,5,1,~,0,~
1,0,5,2,~,0,~
1,0,5,3,~,0,~
1,0,5,4,~,0,~
1,0,5,5,~,0,~
1,1,0,0,~,0,~
1,1,0,1,~,0,~
1,1,0,2,~,0,~
1,1,0,3,~,0,~
1,1,0,4,~,0,~
1,1,0,5,~,0,~
1,1,1,0,~,0,~
1,1,1,1,~,0,~
1,1,1,2,~,0,~
1,1,1,3,~,0,~
1,1,1,4,~,0,~
1,1,1,5,~,0,~
1,1,2,0,~,0,~
1,1,2,1,~,0,~
1,1,2,2,~,0,~
1,1,2,3,~,0,~
1,1,2,4,~,0,~
1,1,2,5,~,0,~
1,1,3,0,~,0,~
1,1,3,1,~,0,~
1,1,3,2,~,0,~
1,1,3,3,~,0,~
1,1,3,4,~,0,~
1,1,3,5,~,0,~
1,1,4,0,~,0,~
1,1,4,1,~,0,~
1,1,4,2,~,0,~
1,1,4,3,~,0,~
1,1,4,4,~,0,~
1,1,4,5,~,0,~
1,1,5,0,~,0,~
1,1,5,1,~,0,~
1,1,5,2,~,0,~
1,1,5,3,~,0,~
1,1,5,4,~,0,~
1,1,5,5,~,0,~
1,2,0,0,~,0,~
1,2,0,1,~,0,~
1,2,0,2,~,0,~
1,2,0,3,~,0,~
1,2,0,4,~,0,~
1,2,0,5,~,0,~
1,2,1,0,~,0,~
1,2,1,1,~,0,~
1,2,1,2,~,0,~
1,2,1,3,~,0,~
1,2,1,4,~,0,~
1,2,1,5,~,0,~
1,2,2,0,~,0,~
1,2,2,1,~,0,~
1,2,2,2,~,0,~
1,2,2,3,~,0,~
1,2,2,4,~,0,~
1,2,2,5,~,0,~
1,2,3,0,~,0,~
1,2,3,1,~,0,~
1,2,3,2,~,0,~
1,2,3,3,~,0,~
1,2,3,4,~,0,~
1,2,3,5,~,0,~
1,2,4,0,~,0,~
1,2,4,1,~,0,~
1,2,4,2,~,0,~
1,2,4,3,~,0,~
1,2,4,4,~,0,~
1,2,4,5,~,0,~
1,2,5,0,~,0,~
1,2,5,1,~,0,~
1,2,5,2,~,0,~
1,2,5,3,~,0,~
1,2,5,4,~,0,~
1,2,5,5,~,0,~
1,3,0,0,~,0,~
1,3,0,1,~,0,~
1,3,0,2,~,0,~
1,3,0,3,~,0,~
1,3,0,4,~,0,~
1,3,0,5,~,0,~
1,3,1,0,~,0,~
1,3,1,1,~,0,~
1,3,1,2,~,0,~
1,3,1,3,~,0,~
1,3,1,4,~,0,~
1,3,1,5,~,0,~
1,3,2,0,~,0,~
1,3,2,1,~,0,~
1,3,2,2,~,0,~
1,3,2,3,~,0,~
1,3,2,4,~,0,~
1,3,2,5,~,0,~
1,3,3,0,~,0,~
1,3,3,1,~,0,~
1,3,3,2,~,0,~
1,3,3,3,~,0,~
1,3,3,4,~,0,~
1,3,3,5,~,0,~
1,3,4,0,~,0,~
1,3,4,1,~,0,~
1,3,4,2,~,0,~
1,3,4,3,~,0,~
1,3,4,4,~,0,~
1,3,4,5,~,0,~
1,3,5,0,~,0,~
1,3,5,1,~,0,~
1,3,5,2,~,0,~
1,3,5,3,~,0,~
1,3,5,4,~,0,~
1,3,5,5,~,0,~
1,4,0,0,~,0,~
1,4,0,1,~,0,~
1,4,0,2,~,0,~
1,4,0,3,~,0,~
1,4,0,4,~,0,~
1,4,0,5,~,0,~
1,4,1,0,~,0,~
1,4,1,1,~,0,~
1,4,1,2,~,0,~
1,4,1,3,~,0,~
1,4,1,4,~,0,~
1,4,1,5,~,0,~
1,4,2,0,~,0,~
1,4,2,1,~,0,~
1,4,2,2,~,0,~
1,4,2,3,~,0,~
1,4,2,4,~,0,~
1,4,2,5,~,0,~
1,4,3,0,~,0,~
1,4,3,1,~,0,~
1,4,3,2,~,0,~
1,4,3,3,~,0,~
1,4,3,4,~,0,~
1,4,3,5,~,0,~
1,4,4,0,~,0,~
1,4,4,1,~,0,~
1,4,4,2,~,0,~
1,4,4,3,~,0,~
1,4,4,4,~,0,~
1,4,4,5,~,0,~
1,4,5,0,~,0,~
1,4,5,1,~,0,~
1,4,5,2,~,0,~
1,4,5,3,~,0,~
1,4,5,4,~,0,~
1,4,5,5,~,0,~
1,5,0,0,~,0,~
1,5,0,1,~,0,~
1,5,0,2,~,0,~
1,5,0,3,~,0,~
1,5,0,4,~,0,~
1,5,0,5,~,0,~
1,5,1,0,~,0,~
1,5,1,1,~,0,~
1,5,1,2,~,0,~
1,5,1,3,~,0,~
1,5,1,4,~,0,~
1,5,1,5,~,0,~
1,5,2,0,~,0,~
1,5,2,1,~,0,~
1,5,2,2,~,0,~
1,5,2,3,~,0,~
1,5,2,4,~,0,~
1,5,2,5,~,0,~
1,5,3,0,~,0,~
1,5,3,1,~,0,~
1,5,3,2,~,0,~
1,5,3,3,~,0,~
1,5,3,4,~,0,~
1,5,3,5,~,0,~
1,5,4,0,~,0,~
1,5,4,1,~,0,~
1,5,4,2,~,0,~
1,5,4,3,~,0,~
1,5,4,4,~,0,~
1,5,4,5,~,0,~
1,5,5,0,~,0,~
1,5,5,1,~,0,~
1,5,5,2,~,0,~
1,5,5,3,~,0,~
1,5,5,4,~,0,~
1,5,5,5,~,0,~
1,6,0,0,~,0,~
1,6,0,1,~,0,~
1,6,0,2,~,0,~
1,6,0,3,~,0,~
1,6,0,4,~,0,~
1,6,0,5,~,0,~
1,6,1,0,~,0,~
1,6,1,1,~,0,~
1,6,1,2,~,0,~
1,6,1,3,~,0,~
1,6,1,4,~,0,~
1,6,1,5,~,0,~
1,6,2,0,~,0,~
1,6,2,1,~,0,~
1,6,2,2,~,0,~
1,6,2,3,~,0,~
1,6,2,4,~,0,~
1,6,2,5,~,0,~
1,6,3,0,~,0,~
1,6,3,1,~,0,~
1,6,3,2,~,0,~
1,6,3,3,~,0,~
1,6,3,4,~,0,~
1,6,3,5,~,0,~
1,6,4,0,~,0,~
1,6,4,1,~,0,~
1,6,4,2,~,0,~
1,6,4,3,~,0,~
1,6,4,4,~,0,~
1,6,4,5,~,0,~
1,6,5,0,~,0,~
1,6,5,1,~,0,~
1,6,5,2,~,0,~
1,6,5,3,~,0,~
1,6,5,4,~,0,~
1,6,5,5,~,0,~
1,7,0,0,~,0,~
1,7,0,1,~,0,~
1,7,0,2,~,0,~
1,7,0,3,~,0,~
1,7,0,4,~,0,~
1,7,0,5,~,0,~
1,7,1,0,~,0,~
1,7,1,1,~,0,~
1,7,1,2,~,0,~
1,7,1,3,~,0,~
1,7,1,4,~,0,~
1,7,1,5,~,0,~
1,7,2,0,~,0,~
1,7,2,1,~,0,~
1,7,2,2,~,0,~
1,7,2,3,~,0,~
1,7,2,4,~,0,~
1,7,2,5,~,0,~
1,7,3,0,~,0,~
1,7,3,1,~,0,~
1,7,3,2,~,0,~
1,7,3,3,~,0,~
1,7,3,4,~,0,~
1,7,3,5,~,0,~
1,7,4,0,~,0,~
1,7,4,1,~,0,~
1,7,4,2,~,0,~
1,7,4,3,~,0,~
1,7,4,4,~,0,~
1,7,4,5,~,0,~
1,7,5,0,~,0,~
1,7,5,1,~,0,~
1,7,5,2,~,0,~
1,7,5,3,~,0,~
1,7,5,4,~,0,~
1,7,5,5,~,0,~
1,8,0,0,~,0,~
1,8,0,1,~,0,~
1,8,0,2,~,0,~
1,8,0,3,~,0,~
1,8,0,4,~,0,~
1,8,0,5,~,0,~
1,8,1,0,~,0,~
1,8,1,1,~,0,~
1,8,1,2,~,0,~
1,8,1,3,~,0,~
1,8,1,4,~,0,~
1,8,1,5,~,0,~
1,8,2,0,~,0,~
1,8,2,1,~,0,~
1,8,2,2,~,0,~
1,8,2,3,~,0,~
1,8,2,4,~,0,~
1,8,2,5,~,0,~
1,8,3,0,~,0,~
1,8,3,1,~,0,~
1,8,3,2,~,0,~
1,8,3,3,~,0,~
1,8,3,4,~,0,~
1,8,3,5,~,0,~
1,8,4,0,~,0,~
1,8,4,1,~,0,~
1,8,4,2,~,0,~
1,8,4,3,~,0,~
1,8,4,4,~,0,~
1,8,4,5,~,0,~
1,8,5,0,~,0,~
1,8,5,1,~,0,~
1,8,5,2,~,0,~
1,8,5,3,~,0,~
1,8,5,4,~,0,~
1,8,5,5,~,0,~
1,9,0,0,~,0,~
1,9,0,1,~,0,~
1,9,0,2,~,0,~
1,9,0,3,~,0,~
1,9,0,4,~,0,~
1,9,0,5,~,0,~
1,9,1,0,~,0,~
1,9,1,1,~,0,~
1,9,1,2,~,0,~
1,9,1,3,~,0,~
1,9,1,4,~,0,~
1,9,1,5,~,0,~
1,9,2,0,~,0,~
1,9,2,1,~,0,~
1,9,2,2,~,0,~
1,9,2,3,~,0,~
1,9,2,4,~,0,~
1,9,2,5,~,0,~
1,9,3,0,~,0,~
1,9,3,1,~,0,~
1,9,3,2,~,0,~
1,9,3,3,~,0,~
1,9,3,4,~,0,~
1,9,3,5,~,0,~
1,9,4,0,~,0,~
1,9,4,1,~,0,~
1,9,4,2,~,0,~
1,9,4,3,~,0,~
1,9,4,4,~,0,~
1,9,4,5,~,0,~
1,9,5,0,~,0,~
1,9,5,1,~,0,~
1,9,5,2,~,0,~
1,9,5,3,~,0,~
1,9,5,4,~,0,~
1,9,5,5,~,0,~
1,10,0,0,~,0,~
1,10,0,1,~,0,~
1,10,0,2,~,0,~
1,10,0,3,~,0,~
1,10,0,4,~,0,~
1,10,0,5,~,0,~
1,10,1,0,~,0,~
1,10,1,1,~,0,~
1,10,1,2,~,0,~
1,10,1,3,~,0,~
1,10,1,4,~,0,~
1,10,1,5,~,0,~
1,10,2,0,~,0,~
1,10,2,1,~,0,~
1,10,2,2,~,0,~
1,10,2,3,~,0,~
1,10,2,4,~,0,~
1,10,2,5,~,0,~
1,10,3,0,~,0,~
1,10,3,1,~,0,~
1,10,3,2,~,0,~
1,10,3,3,~,0,~
1,10,3,4,~,0,~
1,10,3,5,~,0,~
1,10,4,0,~,0,~
1,10,4,1,~,0,~
1,10,4,2,~,0,~
1,10,4,3,~,0,~
1,10,4,4,~,0,~
1,10,4,5,~,0,~
1,10,5,0,~,0,~
1,10,5,1,~,0,~
1,10,5,2,~,0,~
1,10,5,3,~,0,~
1,10,5,4,~,0,~
1,10,5,5,~,0,~
1,11,0,0,~,0,~
1,11,0,1,~,0,~
1,11,0,2,~,0,~
1,11,0,3,~,0,~
1,11,0,4,~,0,~
1,11,0,5,~,0,~
1,11,1,0,~,0,~
1,11,1,1,~,0,~
1,11,1,2,~,0,~
1,11,1,3,~,0,~
1,11,1,4,~,0,~
1,11,1,5,~,0,~
1,11,2,0,~,0,~
1,11,2,1,~,0,~
1,11,2,2,~,0,~
1,11,2,3,~,0,~
1,11,2,4,~,0,~
1,11,2,5,~,0,~
1,11,3,0,~,0,~
1,11,3,1,~,0,~
1,11,3,2,~,0,~
1,11,3,3,~,0,~
1,11,3,4,~,0,~
1,11,3,5,~,0,~
1,11,4,0,~,0,~
1,11,4,1,~,0,~
1,11,4,2,~,0,~
1,11,4,3,~,0,~
1,11,4,4,~,0,~
1,11,4,5,~,0,~
1,11,5,0,~,0,~
1,11,5,1,~,0,~
1,11,5,2,~,0,~
1,11,5,3,~,0,~
1,11,5,4,~,0,~
1,11,5,5,~,0,~
1,12,0,0,~,0,~
1,12,0,1,~,0,~
1,12,0,2,~,0,~
1,12,0,3,~,0,~
1,12,0,4,~,0,~
1,12,0,5,~,0,~
1,12,1,0,~,0,~
1,12,1,1,~,0,~
1,12,1,2,~,0,~
1,12,1,3,~,0,~
1,12,1,4,~,0,~
1,12,1,5,~,0,~
1,12,2,0,~,0,~
1,12,2,1,~,0,~
1,12,2,2,~,0,~
1,12,2,3,~,0,~
1,12,2,4,~,0,~
1,12,2,5,~,0,~
1,12,3,0,~,0,~
1,12,3,1,~,0,~
1,12,3,2,~,0,~
1,12,3,3,~,0,~
1,12,3,4,~,0,~
1,12,3,5,~,0,~
1,12,4,0,~,0,~
1,12,4,1,~,0,~
1,12,4,2,~,0,~
1,12,4,3,~,0,~
1,12,4,4,~,0,~
1,12,4,5,~,0,~
1,12,5,0,~,0,~
1,12,5,1,~,0,~
1,12,5,2,~,0,~
1,12,5,3,~,0,~
1,12,5,4,~,0,~
1,12,5,5,~,0,~
1,13,0,0,~,0,~
1,13,0,1,~,0,~
1,13,0,2,~,0,~
1,13,0,3,~,0,~
1,13,0,4,~,0,~
1,13,0,5,~,0,~
1,13,1,0,~,0,~
1,13,1,1,~,0,~
1,13,1,2,~,0,~
1,13,1,3,~,0,~
1,13,1,4,~,0,~
1,13,1,5,~,0,~
1,13,2,0,~,0,~
1,13,2,1,~,0,~
1,13,2,2,~,0,~
1,13,2,3,~,0,~
1,13,2,4,~,0,~
1,13,2,5,~,0,~
1,13,3,0,~,0,~
1,13,3,1,~,0,~
1,13,3,2,~,0,~
1,13,3,3,~,0,~
1,13,3,4,~,0,~
1,13,3,5,~,0,~
1,13,4,0,~,0,~
1,13,4,1,~,0,~
1,13,4,2,~,0,~
1,13,4,3,~,0,~
1,13,4,4,~,0,~
1,13,4,5,~,0,~
1,13,5,0,~,0,~
1,13,5,1,~,0,~
1,13,5,2,~,0,~
1,13,5,3,~,0,~
1,13,5,4,~,0,~
1,13,5,5,~,0,~
1,14,0,0,~,0,~
1,14,0,1,~,0,~
1,14,0,2,~,0,~
1,14,0,3,~,0,~
1,14,0,4,~,0,~
1,14,0,5,~,0,~
1,14,1,0,~,0,~
1,14,1,1,~,0,~
1,14,1,2,~,0,~
1,14,1,3,~,0,~
1,14,1,4,~,0,~
1,14,1,5,~,0,~
1,14,2,0,~,0,~
1,14,2,1,~,0,~
1,14,2,2,~,0,~
1,14,2,3,~,0,~
1,14,2,4,~,0,~
1,14,2,5,~,0,~
1,14,3,0,~,0,~
1,14,3,1,~,0,~
1,14,3,2,~,0,~
1,14,3,3,~,0,~
1,14,3,4,~,0,~
1,14,3,5,~,0,~
1,14,4,0,~,0,~
1,14,4,1,~,0,~
1,14,4,2,~,0,~
1,14,4,3,~,0,~
1,14,4,4,~,0,~
1,14,4,5,~,0,~
1,14,5,0,~,0,~
1,14,5,1,~,0,~
1,14,5,2,~,0,~
1,14,5,3,~,0,~
1,14,5,4,~,0,~
1,14,5,5,~,0,~
1,15,0,0,~,0,~
1,15,0,1,~,0,~
1,15,0,2,~,0,~
1,15,0,3,~,0,~
1,15,0,4,~,0,~
1,15,0,5,~,0,~
1,15,1,0,~,0,~
1,15,1,1,~,0,~
1,15,1,2,~,0,~
1,15,1,3,~,0,~
1,15,1,4,~,0,~
1,15,1,5,~,0,~
1,15,2,0,~,0,~
1,15,2,1,~,0,~
1,15,2,2,~,0,~
1,15,2,3,~,0,~
1,15,2,4,~,0,~
1,15,2,5,~,0,~
1,15,3,0,~,0,~
1,15,3,1,~,0,~
1,15,3,2,~,0,~
1,15,3,3,~,0,~
1,15,3,4,~,0,~
1,15,3,5,~,0,~
1,15,4,0,~,0,~
1,15,4,1,~,0,~
1,15,4,2,~,0,~
1,15,4,3,~,0,~
1,15,4,4,~,0,~
1,15,4,5,~,0,~
1,15,5,0,~,0,~
1,15,5,1,~,0,~
1,15,5,2,~,0,~
1,15,5,3,~,0,~
1,15,5,4,~,0,~
1,15,5,5,~,0,~
1,16,0,0,~,0,~
1,16,0,1,~,0,~
1,16,0,2,~,0,~
1,16,0,3,~,0,~
1,16,0,4,~,0,~
1,16,0,5,~,0,~
1,16,1,0,~,0,~
1,16,1,1,~,0,~
1,16,1,2,~,0,~
1,16,1,3,~,0,~
1,16,1,4,~,0,~
1,16,1,5,~,0,~
1,16,2,0,~,0,~
1,16,2,1,~,0,~
1,16,2,2,~,0,~
1,16,2,3,~,0,~
1,16,2,4,~,0,~
1,16,2,5,~,0,~
1,16,3,0,~,0,~
1,16,3,1,~,0,~
1,16,3,2,~,0,~
1,16,3,3,~,0,~
1,16,3,4,~,0,~
1,16,3,5,~,0,~
1,16,4,0,~,0,~
1,16,4,1,~,0,~
1,16,4,2,~,0,~
1,16,4,3,~,0,~
1,16,4,4,~,0,~
1,16,4,5,~,0,~
1,16,5,0,~,0,~
1,16,5,1,~,0,~
1,16,5,2,~,0,~
1,16,5,3,~,0,~
1,16,5,4,~,0,~
1,16,5,5,~,0,~
1,17,0,0,~,0,~
1,17,0,1,~,0,~
1,17,0,2,~,0,~
1,17,0,3,~,0,~
1,17,0,4,~,0,~
1,17,0,5,~,0,~
1,17,1,0,~,0,~
1,17,1,1,~,0,~
1,17,1,2,~,0,~
1,17,1,3,~,0,~
1,17,1,4,~,0,~
1,17,1,5,~,0,~
1,17,2,0,~,0,~
1,17,2,1,~,0,~
1,17,2,2,~,0,~
1,17,2,3,~,0,~
1,17,2,4,~,0,~
1,17,2,5,~,0,~
1,17,3,0,~,0,~
1,17,3,1,~,0,~
1,17,3,2,~,0,~
1,17,3,3,~,0,~
1,17,3,4,~,0,~
1,17,3,5,~,0,~
1,17,4,0,~,0,~
1,17,4,1,~,0,~
1,17,4,2,~,0,~
1,17,4,3,~,0,~
1,17,4,4,~,0,~
1,17,4,5,~,0,~
1,17,5,0,~,0,~
1,17,5,1,~,0,~
1,17,5,2,~,0,~
1,17,5,3,~,0,~
1,17,5,4,~,0,~
1,17,5,5,~,0,~
1,18,0,0,~,0,~
1,18,0,1,~,0,~
1,18,0,2,~,0,~
1,18,0,3,~,0,~
1,18,0,4,~,0,~
1,18,0,5,~,0,~
1,18,1,0,~,0,~
1,18,1,1,~,0,~
1,18,1,2,~,0,~
1,18,1,3,~,0,~
1,18,1,4,~,0,~
1,18,1,5,~,0,~
1,18,2,0,~,0,~
1,18,2,1,~,0,~
1,18,2,2,~,0,~
1,18,2,3,~,0,~
1,18,2,4,~,0,~
1,18,2,5,~,0,~
1,18,3,0,~,0,~
1,18,3,1,~,0,~
1,18,3,2,~,0,~
1,18,3,3,~,0,~
1,18,3,4,~,0,~
1,18,3,5,~,0,~
1,18,4,0,~,0,~
1,18,4,1,~,0,~
1,18,4,2,~,0,~
1,18,4,3,~,0,~
1,18,4,4,~,0,~
1,18,4,5,~,0,~
1,18,5,0,~,0,~
1,18,5,1,~,0,~
1,18,5,2,~,0,~
1,18,5,3,~,0,~
1,18,5,4,~,0,~
1,18,5,5,~,0,~
1,19,0,0,~,0,~
1,19,0,1,~,0,~
1,19,0,2,~,0,~
1,19,0,3,~,0,~
1,19,0,4,~,0,~
1,19,0,5,~,0,~
1,19,1,0,~,0,~
1,19,1,1,~,0,~
1,19,1,2,~,0,~
1,19,1,3,~,0,~
1,19,1,4,~,0,~
1,19,1,5,~,0,~
1,19,2,0,~,0,~
1,19,2,1,~,0,~
1,19,2,2,~,0,~
1,19,2,3,~,0,~
1,19,2,4,~,0,~
1,19,2,5,~,0,~
1,19,3,0,~,0,~
1,19,3,1,~,0,~
1,19,3,2,~,0,~
1,19,3,3,~,0,~
1,19,3,4,~,0,~
1,19,3,5,~,0,~
1,19,4,0,~,0,~
1,19,4,1,~,0,~
1,19,4,2,~,0,~
1,19,4,3,~,0,~
1,19,4,4,~,0,~
1,19,4,5,~,0,~
1,19,5,0,~,0,~
1,19,5,1,~,0,~
1,19,5,2,~,0,~
1,19,5,3,~,0,~
1,19,5,4,~,0,~
1,19,5,5,~,0,~
1,20,0,0,~,0,~
1,20,0,1,~,0,~
1,20,0,2,~,0,~
1,20,0,3,~,0,~
1,20,0,4,~,1,~
1,20,0,5,~,0,~
1,20,1,0,~,0,~
1,20,1,1,~,0,~
1,20,1,2,~,0,~
1,20,1,3,~,0,~
1,20,1,4,~,0,~
1,20,1,5,~,0,~
1,20,2,0,~,0,~
1,20,2,1,~,0,~
1,20,2,2,~,0,~
1,20,2,3,~,0,~
1,20,2,4,~,0,~
1,20,2,5,~,0,~
1,20,3,0,~,0,~
1,20,3,1,~,0,~
1,20,3,2,~,0,~
1,20,3,3,~,0,~
1,20,3,4,~,0,~
1,20,3,5,~,0,~
1,20,4,0,~,0,~
1,20,4,1,~,0,~
1,20,4,2,~,0,~
1,20,4,3,~,0,~
1,20,4,4,~,0,~
1,20,4,5,~,0,~
1,20,5,0,~,0,~
1,20,5,1,~,0,~
1,20,5,2,~,0,~
1,20,5,3,~,0,~
1,20,5,4,~,0,~
1,20,5,5,~,0,~
1,21,0,0,~,0,~
1,21,0,1,~,0,~
1,21,0,2,~,0,~
1,21,0,3,~,0,~
1,21,0,4,~,0,~
1,21,0,5,~,0,~
1,21,1,0,~,0,~
1,21,1,1,~,0,~
1,21,1,2,~,0,~
1,21,1,3,~,0,~
1,21,1,4,~,0,~
1,21,1,5,~,0,~
1,21,2,0,~,0,~
1,21,2,1,~,0,~
1,21,2,2,~,0,~
1,21,2,3,~,0,~
1,21,2,4,~,0,~
1,21,2,5,~,0,~
1,21,3,0,~,0,~
1,21,3,1,~,0,~
1,21,3,2,~,0,~
1,21,3,3,~,0,~
1,21,3,4,~,0,~
1,21,3,5,~,0,~
1,21,4,0,~,0,~
1,21,4,1,~,0,~
1,21,4,2,~,0,~
1,21,4,3,~,0,~
1,21,4,4,~,0,~
1,21,4,5,~,0,~
1,21,5,0,~,0,~
1,21,5,1,~,0,~
1,21,5,2,~,0,~
1,21,5,3,~,0,~
1,21,5,4,~,0,~
1,21,5,5,~,0,~
1,22,0,0,~,0,~
1,22,0,1,~,0,~
1,22,0,2,~,0,~
1,22,0,3,~,0,~
1,22,0,4,~,0,~
1,22,0,5,~,0,~
1,22,1,0,~,0,~
1,22,1,1,~,0,~
1,22,1,2,~,0,~
1,22,1,3,~,0,~
1,22,1,4,~,0,~
1,22,1,5,~,0,~
1,22,2,0,~,0,~
1,22,2,1,~,0,~
1,22,2,2,~,0,~
1,22,2,3,~,0,~
1,22,2,4,~,0,~
1,22,2,5,~,0,~
1,22,3,0,~,0,~
1,22,3,1,~,0,~
1,22,3,2,~,0,~
1,22,3,3,~,0,~
1,22,3,4,~,0,~
1,22,3,5,~,0,~
1,22,4,0,~,0,~
1,22,4,1,~,0,~
1,22,4,2,~,0,~
1,22,4,3,~,0,~
1,22,4,4,~,0,~
1,22,4,5,~,0,~
1,22,5,0,~,0,~
1,22,5,1,~,0,~
1,22,5,2,~,0,~
1,22,5,3,~,0,~
1,22,5,4,~,0,~
1,22,5,5,~,0,~
1,23,0,0,~,0,~
1,23,0,1,~,0,~
1,23,0,2,~,0,~
1,23,0,3,~,0,~
1,23,0,4,~,0,~
1,23,0,5,~,0,~
1,23,1,0,~,0,~
1,23,1,1,~,0,~
1,23,1,2,~,0,~
1,23,1,3,~,0,~
1,23,1,4,~,0,~
1,23,1,5,~,0,~
1,23,2,0,~,0,~
1,23,2,1,~,0,~
1,23,2,2,~,0,~
1,23,2,3,~,0,~
1,23,2,4,~,0,~
1,23,2,5,~,0,~
1,23,3,0,~,0,~
1,23,3,1,~,0,~
1,23,3,2,~,0,~
1,23,3,3,~,0,~
1,23,3,4,~,0,~
1,23,3,5,~,0,~
1,23,4,0,~,0,~
1,23,4,1,~,0,~
1,23,4,2,~,0,~
1,23,4,3,~,0,~
1,23,4,4,~,0,~
1,23,4,5,~,0,~
1,23,5,0,~,0,~
1,23,5,1,~,0,~
1,23,5,2,~,0,~
1,23,5,3,~,0,~
1,23,5,4,~,0,~
1,23,5,5,~,0,~
1,24,0,0,~,0,~
1,24,0,1,~,0,~
1,24,0,2,~,0,~
1,24,0,3,~,0,~
1,24,0,4,~,0,~
1,24,0,5,~,0,~
1,24,1,0,~,0,~
1,24,1,1,~,0,~
1,24,1,2,~,0,~
1,24,1,3,~,0,~
1,24,1,4,~,0,~
1,24,1,5,~,0,~
1,24,2,0,~,0,~
1,24,2,1,~,0,~
1,24,2,2,~,0,~
1,24,2,3,~,0,~
1,24,2,4,~,0,~
1,24,2,5,~,0,~
1,24,3,0,~,0,~
1,24,3,1,~,0,~
1,24,3,2,~,0,~
1,24,3,3,~,0,~
1,24,3,4,~,0,~
1,24,3,5,~,0,~
1,24,4,0,~,0,~
1,24,4,1,~,0,~
1,24,4,2,~,0,~
1,24,4,3,~,0,~
1,24,4,4,~,0,~
1,24,4,5,~,0,~
1,24,5,0,~,0,~
1,24,5,1,~,0,~
1,24,5,2,~,0,~
1,24,5,3,~,0,~
1,24,5,4,~,0,~
1,24,5,5,~,0,~
